Name,IrsSubsection,Location,Ein,Mission
Delta Dental Plan of Ohio,501(c)(4) Civic Leagues and Social Welfare Organizations,"Lansing, MI",31-0685339,"see schedule odelta dental of ohio's mission is to advance and promote the improvement of oral health through dental services through contracts with independent professional service providers, support for research and education, and community outreach directed toward securing access to quality dental care for all. delta dental of ohio is governed by a board of directors controlled by independent members of the community and it offers enrollment in oral health plans to a broad base of the community through a variety of payment models."
Michigan Education Special Services Association,501(c)(9) Employees Associations,"East Lansing, MI",38-1641634,"to serve the members of the michigan education association by providing comprehensive health and related employee benefit plans which respond to the financial and special requirements of the membership, with a continued commitment to personalized service."
Healthplus of Michigan,501(c)(4) Civic Leagues and Social Welfare Organizations,"Flint, MI",38-2160688,provide healthcare services as a state licensed and federally qualified health maintenance organization.
Henry Ford Macomb Hospital Corporation,501(c)(3) Public Charity,"Detroit, MI",38-2947657,"henry ford macomb hospital (hfmh) is an affiliate of henry ford health system serving the northeastern metropolitan detroit michigan communities. as an integrated component of one of the nation's leading comprehensive, integrated health systems, it is the mission of hfmh to improve human life through the excellence of the science and art of health care and healing. hfmh is committed to providing health services and improving the quality of life of all of the citizens of the communities it serves regardless of their financial circumstances. the organization provides financing and health care delivery, including acute, specialty, primary and preventative care services backed by excellence in research and education."
Priority Health Choice Inc,501(c)(3) Public Charity,"Grand Rapids, MI",32-0016523,to improve the health and therefore the lives of the members and communities we serve.
Midmichigan Medical Center Midland CenterMidland,501(c)(3) Public Charity,"Midland, MI",38-0833014,to provide excellent health services to improve the quality of life for people in our communities.
Wolverine Power Supply Cooperative Inc,"501(c)(12) Local Benevolent Life Insurance Associations, Mutual Irrigation and Telephone Companies, and Like Co","Cadillac, MI",38-1326766,"to provide outstanding service to our members by delivering reliable, competitive power supply."
Ascension Borgess Hospital,501(c)(3) Public Charity,"Kalamazoo, MI",38-1360526,"borgess medical center provides necessary and vital health care services to an area which includes all of s.w. michigan. this care is given regardless of any individuals' race, color, religion, gender, age, national origin or ability to pay. borgess medical center is committed to cooperating with patients and families in providing holistic treatment by integrating within the healing process the physical, emotional and spiritual needs of each patient. services include inpatient routine, inpatient and outpatient ancillary care in support of our stated mission."
McLaren Flint,501(c)(3) Public Charity,"Flint, MI",38-2383119,"mclaren health care, through its subsidiaries, will be michigan's best value in healthcare as defined by quality outcomes and cost."
Lakeland Hospitals at Niles & St Joseph Inc,501(c)(3) Public Charity,"Saint Joseph, MI",38-2156872,"lakeland hospital is a 339 bed acute care hospital and provides a full continuum of healthcare services to it's tri-county area. lakeland regional health system is the parent company for lakeland hospitals, nursing homes, and other health-related service corporations serving the tri-county area."
Metropolitan Hospital,501(c)(3) Public Charity,"Wyoming, MI",38-0593405,"metro health's mission is to improve the health and well-being of our communities. to that end the organization believes the foundation of good health is based on excellent quality primary care. the organization is anchored by a 208-bed, general acute care community hospital. additionally, it operates 13 neighborhood outpatient centers, student health facilities at grand valley state university and a community clinic for the underserved. the neighborhood outpatient centers ring the organization's service area, allowing patients access to quality healthcare close to home; services at them include primary care, lab services, mammography, x-ray and physical therapy. in addition to primary care services, the organization provides specialty care at its heart and vascular practice, cancer center, ambulatory surgery center, ophthalmology office, sleep lab and other sites. the organization also focuses on improving the health of the community before people need healthcare. it does this through"
